#@string,ra,dec
Name,RA,DEC
RW Ari,02:16:03.7156830456,+17:31:58.895196317
X Ari,03:08:30.8844194016:+10:26:45.221908919
UY Cam,07:58:58.8815351378:+72:47:15.402911457
RR Cet,01:32:08.1732047748:+01:20:30.230643983
SV Eri,03:11:52.1075010054:-11:21:14.066820534
VX Her,16:30:40.8026759148:+18:22:00.571479735
RR Leo,10:07:43.4604770180:+23:59:30.322184269
TT Lyn,09:03:07.7866525912:+44:35:08.122607393
TV Lyn,07:33:31.7358930486:+47:48:09.833652021
TW Lyn,07:45:06.3012925787:+43:06:41.578305229
RR Lyr,19:25:27.9123232234:+42:47:03.690634101
V535 Mon,07:10:48.8330099295:+01:16:56.044959465
V445 Oph,16:24:41.2159030246:-06:32:29.926362675
AV Peg,21:52:02.7946161616:+22:34:29.376544849
BH Peg,22:53:01.0369767270:+15:47:16.608265661
AR Per,04:17:17.1973966622:+47:24:00.635143177
RU Psc,01:14:26.0372250983:+24:24:56.369647064
T Sex,09:53:28.4001398465:+02:03:26.346766521
TU UMa,11:29:48.4896121348:+30:04:02.380342849
